Date : 2026-05-12 13:41:09
Directory : z:\Projects\mstender
Total : 242 files,  49064 codes, 2203 comments, 4163 blanks, all 55430 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| z:\Projects\mstender\frontend\src\database\Context.jsx                                                     | JavaScript JSX |         31 |          0 |          6 |         37 |
| z:\Projects\mstender\frontend\src\database\Token.jsx                                                       | JavaScript JSX |         34 |          2 |         10 |         46 |
| z:\Projects\mstender\frontend\src\index.css                                                                | CSS            |         65 |          7 |         14 |         86 |
| z:\Projects\mstender\frontend\src\index.js                                                                 | JavaScript     |         30 |          3 |          8 |         41 |
| z:\Projects\mstender\frontend\src\logo.svg                                                                 | XML            |          1 |          0 |          0 |          1 |
| z:\Projects\mstender\frontend\src\middleware\ProtectedRoute.jsx                                            | JavaScript JSX |          8 |          4 |          4 |         16 |
| z:\Projects\mstender\frontend\src\pages\auth\ForgotPassword.jsx                                            | JavaScript JSX |         54 |          0 |          9 |         63 |
| z:\Projects\mstender\frontend\src\pages\auth\Login.jsx                                                     | JavaScript JSX |        150 |          4 |         16 |        170 |
| z:\Projects\mstender\frontend\src\pages\auth\OTP.jsx                                                       | JavaScript JSX |          7 |          0 |          1 |          8 |
| z:\Projects\mstender\frontend\src\pages\auth\ResetPassword.jsx                                             | JavaScript JSX |         65 |          0 |         12 |         77 |
| z:\Projects\mstender\frontend\src\pages\auth\Signup.jsx                                                    | JavaScript JSX |          7 |          0 |          2 |          9 |
| z:\Projects\mstender\frontend\src\pages\banks\BanksList.jsx                                                | JavaScript JSX |        418 |         30 |         30 |        478 |
| z:\Projects\mstender\frontend\src\pages\banks\CreateBank.jsx                                               | JavaScript JSX |        146 |          6 |         18 |        170 |
| z:\Projects\mstender\frontend\src\pages\banks\UpdateBank.jsx                                               | JavaScript JSX |        199 |         15 |         22 |        236 |
| z:\Projects\mstender\frontend\src\pages\banks\data.js                                                      | JavaScript     |          9 |          0 |          5 |         14 |
| z:\Projects\mstender\frontend\src\pages\customers\CreateCustomer.jsx                                       | JavaScript JSX |        188 |         25 |         27 |        240 |
| z:\Projects\mstender\frontend\src\pages\customers\CustomersList.jsx                                        | JavaScript JSX |        498 |         42 |         47 |        587 |
| z:\Projects\mstender\frontend\src\pages\customers\UpdateCustomer.jsx                                       | JavaScript JSX |        200 |         11 |         24 |        235 |
| z:\Projects\mstender\frontend\src\pages\dashboard\Dashboard.jsx                                            | JavaScript JSX |         78 |          5 |          7 |         90 |
| z:\Projects\mstender\frontend\src\pages\dashboard\DashboardCard.jsx                                        | JavaScript JSX |         35 |          0 |          4 |         39 |
| z:\Projects\mstender\frontend\src\pages\dashboard\DashboardChart.jsx                                       | JavaScript JSX |         63 |          0 |          6 |         69 |
| z:\Projects\mstender\frontend\src\pages\employees\CreateEmployee copy.jsx                                  | JavaScript JSX |        349 |         31 |         30 |        410 |
| z:\Projects\mstender\frontend\src\pages\employees\CreateEmployee.jsx                                       | JavaScript JSX |        333 |         39 |         35 |        407 |
| z:\Projects\mstender\frontend\src\pages\employees\EmployeeList.jsx                                         | JavaScript JSX |        595 |         35 |         50 |        680 |
| z:\Projects\mstender\frontend\src\pages\employees\InviteEmployee.jsx                                       | JavaScript JSX |        148 |          2 |         22 |        172 |
| z:\Projects\mstender\frontend\src\pages\employees\UpdateEmployee.jsx                                       | JavaScript JSX |        215 |         11 |         27 |        253 |
| z:\Projects\mstender\frontend\src\pages\forms\Form1.jsx                                                    | JavaScript JSX |        447 |         37 |         41 |        525 |
| z:\Projects\mstender\frontend\src\pages\invoices\CreateInvoice.jsx                                         | JavaScript JSX |        644 |         41 |         98 |        783 |
| z:\Projects\mstender\frontend\src\pages\invoices\InvoicesList.jsx                                          | JavaScript JSX |        421 |         28 |         43 |        492 |
| z:\Projects\mstender\frontend\src\pages\invoices\UpdateInvoice.jsx                                         | JavaScript JSX |          7 |          0 |          2 |          9 |
| z:\Projects\mstender\frontend\src\pages\invoices\ViewInvoice.jsx                                           | JavaScript JSX |        299 |         29 |         39 |        367 |
| z:\Projects\mstender\frontend\src\pages\leads\CreateLead.jsx                                               | JavaScript JSX |        168 |         10 |         28 |        206 |
| z:\Projects\mstender\frontend\src\pages\leads\LeadDetails.jsx                                              | JavaScript JSX |        792 |         15 |        176 |        983 |
| z:\Projects\mstender\frontend\src\pages\leads\LeadList.jsx                                                 | JavaScript JSX |      1,164 |         21 |        242 |      1,427 |
| z:\Projects\mstender\frontend\src\pages\leads\PipelineCreate.jsx                                           | JavaScript JSX |         96 |          8 |         21 |        125 |
| z:\Projects\mstender\frontend\src\pages\leads\PipelineList.jsx                                             | JavaScript JSX |        216 |         12 |         29 |        257 |
| z:\Projects\mstender\frontend\src\pages\leads\UpdateLead.jsx                                               | JavaScript JSX |        223 |         22 |         29 |        274 |
| z:\Projects\mstender\frontend\src\pages\notifications\Notifications.jsx                                    | JavaScript JSX |        103 |          2 |         10 |        115 |
| z:\Projects\mstender\frontend\src\pages\others\Maintance.jsx                                               | JavaScript JSX |         95 |         12 |         31 |        138 |
| z:\Projects\mstender\frontend\src\pages\others\NotFound.jsx                                                | JavaScript JSX |         30 |          0 |          3 |         33 |
| z:\Projects\mstender\frontend\src\pages\others\Profile.jsx                                                 | JavaScript JSX |        242 |          9 |         77 |        328 |
| z:\Projects\mstender\frontend\src\pages\others\Setting.jsx                                                 | JavaScript JSX |        389 |         34 |         85 |        508 |
| z:\Projects\mstender\frontend\src\pages\taxes\CreateTax.jsx                                                | JavaScript JSX |        123 |          1 |         13 |        137 |
| z:\Projects\mstender\frontend\src\pages\taxes\TaxesList.jsx                                                | JavaScript JSX |        429 |         42 |         31 |        502 |
| z:\Projects\mstender\frontend\src\pages\taxes\UpdateTax.jsx                                                | JavaScript JSX |        173 |          7 |         20 |        200 |
| z:\Projects\mstender\frontend\src\pages\transactions\CreateTransaction.jsx                                 | JavaScript JSX |        194 |         17 |         31 |        242 |
| z:\Projects\mstender\frontend\src\pages\transactions\TransactionsList.jsx                                  | JavaScript JSX |        320 |         23 |         35 |        378 |
| z:\Projects\mstender\frontend\src\pages\transactions\UpdateTransaction.jsx                                 | JavaScript JSX |        218 |          9 |         35 |        262 |
| z:\Projects\mstender\frontend\src\popups\Delete\DeletePopUp.jsx                                            | JavaScript JSX |         72 |          2 |          7 |         81 |
| z:\Projects\mstender\frontend\src\popups\Edit\EditPopUp.jsx                                                | JavaScript JSX |         91 |          0 |          7 |         98 |
| z:\Projects\mstender\frontend\src\popups\GlobalSearchPopup.jsx                                             | JavaScript JSX |        316 |         41 |        104 |        461 |
| z:\Projects\mstender\frontend\src\reportWebVitals.js                                                       | JavaScript     |         12 |          0 |          2 |         14 |
| z:\Projects\mstender\frontend\src\setupTests.js                                                            | JavaScript     |          1 |          4 |          1 |          6 |
| z:\Projects\mstender\frontend\src\utils\BanManager.js                                                      | JavaScript     |          7 |          0 |          2 |          9 |
| z:\Projects\mstender\frontend\src\utils\Permission.jsx                                                     | JavaScript JSX |          9 |          5 |          5 |         19 |
| z:\Projects\mstender\frontend\src\utils\currencyFormatter.js                                               | JavaScript     |         17 |          1 |          2 |         20 |
| z:\Projects\mstender\frontend\src\utils\errors.js                                                          | JavaScript     |         14 |          0 |          3 |         17 |
| z:\Projects\mstender\frontend\src\utils\hasPermission.jsx                                                  | JavaScript JSX |         23 |          7 |         15 |         45 |
| z:\Projects\mstender\frontend\src\utils\money.js                                                           | JavaScript     |         13 |          1 |          9 |         23 |
| z:\Projects\mstender\frontend\src\utils\numberFormatter.js                                                 | JavaScript     |          7 |          0 |          2 |          9 |
| z:\Projects\mstender\frontend\tailwind.config.js                                                           | JavaScript     |         95 |          1 |         10 |        106 |
| Total                                                                                                      |                |     49,064 |      2,203 |      4,163 |     55,430 |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
